file,category,platform,expected,format,status,detail,note
01_logo_base/png/logo_full_transparent_original_crop.png,Logo基础包,,1156x646,PNG,PASS,"1156x646 RGBA, 245243 bytes",
01_logo_base/png/logo_symbol_transparent_original_crop.png,Logo基础包,,888x448,PNG,PASS,"888x448 RGBA, 142638 bytes",
01_logo_base/png/logo_wordmark_transparent_original_crop.png,Logo基础包,,1156x335,PNG,PASS,"1156x335 RGBA, 158101 bytes",
01_logo_base/png/logo_full_transparent_512w.png,Logo基础包,,512x286,PNG,PASS,"512x286 RGBA, 72997 bytes",
01_logo_base/png/logo_full_transparent_1024w.png,Logo基础包,,1024x572,PNG,PASS,"1024x572 RGBA, 201231 bytes",
01_logo_base/png/logo_full_transparent_2048w.png,Logo基础包,,2048x1144,PNG,PASS,"2048x1144 RGBA, 598071 bytes",
01_logo_base/png/logo_full_transparent_4096w.png,Logo基础包,,4096x2288,PNG,PASS,"4096x2288 RGBA, 1726975 bytes",
01_logo_base/png/logo_symbol_transparent_64x64.png,Logo基础包,,64x64,PNG,PASS,"64x64 RGBA, 2502 bytes",
01_logo_base/png/logo_symbol_white_square_64x64.png,Logo基础包,,64x64,PNG,PASS,"64x64 RGBA, 1939 bytes",
01_logo_base/png/logo_symbol_white_rounded_preview_64x64.png,Logo基础包,,64x64,PNG,PASS,"64x64 RGBA, 2030 bytes",
01_logo_base/png/logo_symbol_transparent_128x128.png,Logo基础包,,128x128,PNG,PASS,"128x128 RGBA, 6118 bytes",
01_logo_base/png/logo_symbol_white_square_128x128.png,Logo基础包,,128x128,PNG,PASS,"128x128 RGBA, 4937 bytes",
01_logo_base/png/logo_symbol_white_rounded_preview_128x128.png,Logo基础包,,128x128,PNG,PASS,"128x128 RGBA, 5114 bytes",
01_logo_base/png/logo_symbol_transparent_256x256.png,Logo基础包,,256x256,PNG,PASS,"256x256 RGBA, 15787 bytes",
01_logo_base/png/logo_symbol_white_square_256x256.png,Logo基础包,,256x256,PNG,PASS,"256x256 RGBA, 13392 bytes",
01_logo_base/png/logo_symbol_white_rounded_preview_256x256.png,Logo基础包,,256x256,PNG,PASS,"256x256 RGBA, 13713 bytes",
01_logo_base/png/logo_symbol_transparent_512x512.png,Logo基础包,,512x512,PNG,PASS,"512x512 RGBA, 42255 bytes",
01_logo_base/png/logo_symbol_white_square_512x512.png,Logo基础包,,512x512,PNG,PASS,"512x512 RGBA, 37242 bytes",
01_logo_base/png/logo_symbol_white_rounded_preview_512x512.png,Logo基础包,,512x512,PNG,PASS,"512x512 RGBA, 37946 bytes",
01_logo_base/png/logo_symbol_transparent_1024x1024.png,Logo基础包,,1024x1024,PNG,PASS,"1024x1024 RGBA, 114240 bytes",
01_logo_base/png/logo_symbol_white_square_1024x1024.png,Logo基础包,,1024x1024,PNG,PASS,"1024x1024 RGBA, 101241 bytes",
01_logo_base/png/logo_symbol_white_rounded_preview_1024x1024.png,Logo基础包,,1024x1024,PNG,PASS,"1024x1024 RGBA, 102959 bytes",
01_logo_base/png/logo_symbol_transparent_2048x2048.png,Logo基础包,,2048x2048,PNG,PASS,"2048x2048 RGBA, 327945 bytes",
01_logo_base/png/logo_symbol_white_square_2048x2048.png,Logo基础包,,2048x2048,PNG,PASS,"2048x2048 RGBA, 286828 bytes",
01_logo_base/png/logo_symbol_white_rounded_preview_2048x2048.png,Logo基础包,,2048x2048,PNG,PASS,"2048x2048 RGBA, 290512 bytes",
01_logo_base/png/logo_full_navy_transparent.png,Logo基础包,,1156x646,PNG,PASS,"1156x646 RGBA, 42480 bytes",
01_logo_base/png/logo_symbol_navy_transparent.png,Logo基础包,,888x448,PNG,PASS,"888x448 RGBA, 22614 bytes",
01_logo_base/png/logo_full_black_transparent.png,Logo基础包,,1156x646,PNG,PASS,"1156x646 RGBA, 36616 bytes",
01_logo_base/png/logo_symbol_black_transparent.png,Logo基础包,,888x448,PNG,PASS,"888x448 RGBA, 18628 bytes",
01_logo_base/png/logo_full_white_transparent.png,Logo基础包,,1156x646,PNG,PASS,"1156x646 RGBA, 41871 bytes",
01_logo_base/png/logo_full_white_on_navy_preview.png,Logo基础包,,1316x806,PNG,PASS,"1316x806 RGBA, 68841 bytes",
01_logo_base/png/logo_symbol_white_transparent.png,Logo基础包,,888x448,PNG,PASS,"888x448 RGBA, 22029 bytes",
01_logo_base/png/logo_symbol_white_on_navy_preview.png,Logo基础包,,1200x700,PNG,PASS,"1200x700 RGBA, 49030 bytes",
01_logo_base/png/logo_full_orange_transparent.png,Logo基础包,,1156x646,PNG,PASS,"1156x646 RGBA, 42330 bytes",
01_logo_base/png/logo_symbol_orange_transparent.png,Logo基础包,,888x448,PNG,PASS,"888x448 RGBA, 22459 bytes",
01_logo_base/png/logo_full_blue_transparent.png,Logo基础包,,1156x646,PNG,PASS,"1156x646 RGBA, 42374 bytes",
01_logo_base/png/logo_symbol_blue_transparent.png,Logo基础包,,888x448,PNG,PASS,"888x448 RGBA, 22509 bytes",
01_logo_base/png/logo_symbol_gradient_rebuilt.png,Logo基础包,,888x448,PNG,PASS,"888x448 RGBA, 50239 bytes",
01_logo_base/png/brand_color_swatch_1600x900.png,Logo基础包,,1600x900,PNG,PASS,"1600x900 RGBA, 49367 bytes",
02_application_listing/wechat_mini_program/mini_program_avatar_144x144.png,应用上架类,微信小程序,144x144,PNG,PASS,"144x144 RGBA, 6010 bytes",头像上传后平台会进行圆形裁切，核心图形已保留安全区
02_application_listing/wechat_mini_program/mini_program_avatar_180x180.png,应用上架类,微信小程序,180x180,PNG,PASS,"180x180 RGBA, 8319 bytes",头像上传后平台会进行圆形裁切，核心图形已保留安全区
02_application_listing/wechat_mini_program/mini_program_avatar_240x240.png,应用上架类,微信小程序,240x240,PNG,PASS,"240x240 RGBA, 12682 bytes",头像上传后平台会进行圆形裁切，核心图形已保留安全区
02_application_listing/wechat_mini_program/mini_program_avatar_300x300.png,应用上架类,微信小程序,300x300,PNG,PASS,"300x300 RGBA, 17598 bytes",头像上传后平台会进行圆形裁切，核心图形已保留安全区
02_application_listing/wechat_mini_program/mini_program_avatar_512x512.png,应用上架类,微信小程序,512x512,PNG,PASS,"512x512 RGBA, 38373 bytes",头像上传后平台会进行圆形裁切，核心图形已保留安全区
02_application_listing/wechat_mini_program/service_account_avatar_240x240.png,应用上架类,微信公众号,240x240,PNG,PASS,"240x240 RGBA, 12682 bytes",
02_application_listing/wechat_mini_program/service_account_avatar_500x500.png,应用上架类,微信公众号,500x500,PNG,PASS,"500x500 RGBA, 36961 bytes",
02_application_listing/wechat_mini_program/service_account_avatar_640x640.png,应用上架类,微信公众号,640x640,PNG,PASS,"640x640 RGBA, 53603 bytes",
02_application_listing/wechat_mini_program/mini_program_code_white_template_430x430.png,应用上架类,微信小程序,430x430,PNG,PASS,"430x430 RGBA, 13538 bytes",此为占位模板，需替换真实小程序码后投放
02_application_listing/wechat_mini_program/mini_program_code_white_template_600x600.png,应用上架类,微信小程序,600x600,PNG,PASS,"600x600 RGBA, 20323 bytes",此为占位模板，需替换真实小程序码后投放
02_application_listing/wechat_mini_program/mini_program_code_white_template_860x860.png,应用上架类,微信小程序,860x860,PNG,PASS,"860x860 RGBA, 30173 bytes",此为占位模板，需替换真实小程序码后投放
02_application_listing/wechat_mini_program/function_intro_first_image_750x422.png,应用上架类,微信小程序,750x422,PNG,PASS,"750x422 RGBA, 57042 bytes",
02_application_listing/wechat_mini_program/function_intro_first_image_900x500.png,应用上架类,微信小程序,900x500,PNG,PASS,"900x500 RGBA, 70609 bytes",
02_application_listing/wechat_mini_program/function_intro_first_image_1080x608.png,应用上架类,微信小程序,1080x608,PNG,PASS,"1080x608 RGBA, 91781 bytes",
02_application_listing/wechat_mini_program/function_intro_first_image_1600x900.png,应用上架类,微信小程序,1600x900,PNG,PASS,"1600x900 RGBA, 151378 bytes",
02_application_listing/wechat_mini_program/wechat_share_card_500x400.png,应用上架类,微信小程序,500x400,PNG,PASS,"500x400 RGBA, 38343 bytes",
02_application_listing/app_store_ios/app_store_icon_1024x1024_square_no_transparency.png,应用上架类,Apple App Store,1024x1024,PNG,PASS,"1024x1024 RGBA, 101241 bytes",官方上传素材应为方形无透明，圆角由系统展示时处理
02_application_listing/app_store_ios/app_store_icon_1024x1024_rounded_preview.png,应用上架类,Apple App Store,1024x1024,PNG,PASS,"1024x1024 RGBA, 102959 bytes",仅用于视觉预览，不建议作为原始上传图
02_application_listing/app_store_ios/ios_launch_no_text_1170x2532.png,应用上架类,iOS,1170x2532,PNG,PASS,"1170x2532 RGBA, 122516 bytes",
02_application_listing/app_store_ios/ios_launch_no_text_1290x2796.png,应用上架类,iOS,1290x2796,PNG,PASS,"1290x2796 RGBA, 137605 bytes",
02_application_listing/app_store_ios/ios_launch_no_text_1242x2688.png,应用上架类,iOS,1242x2688,PNG,PASS,"1242x2688 RGBA, 132372 bytes",
02_application_listing/app_store_ios/ios_launch_no_text_1284x2778.png,应用上架类,iOS,1284x2778,PNG,PASS,"1284x2778 RGBA, 137460 bytes",
02_application_listing/app_store_ios/ios_launch_no_text_1125x2436.png,应用上架类,iOS,1125x2436,PNG,PASS,"1125x2436 RGBA, 115713 bytes",
02_application_listing/app_store_ios/ios_launch_no_text_2048x2732.png,应用上架类,iOS,2048x2732,PNG,PASS,"2048x2732 RGBA, 245149 bytes",
02_application_listing/app_store_ios/app_store_screenshot_template_iphone_6_9_1290x2796.png,应用上架类,Apple App Store,1290x2796,PNG,PASS,"1290x2796 RGBA, 207148 bytes",
02_application_listing/app_store_ios/app_store_screenshot_template_iphone_6_5_1242x2688.png,应用上架类,Apple App Store,1242x2688,PNG,PASS,"1242x2688 RGBA, 198932 bytes",
02_application_listing/app_store_ios/app_store_screenshot_template_iphone_5_5_1242x2208.png,应用上架类,Apple App Store,1242x2208,PNG,PASS,"1242x2208 RGBA, 190846 bytes",
02_application_listing/app_store_ios/app_store_screenshot_template_ipad_12_9_2048x2732.png,应用上架类,Apple App Store,2048x2732,PNG,PASS,"2048x2732 RGBA, 300108 bytes",
02_application_listing/app_store_ios/app_store_detail_brand_header_1200x628.png,应用上架类,Apple App Store,1200x628,PNG,PASS,"1200x628 RGBA, 95842 bytes",
02_application_listing/app_store_ios/app_store_detail_brand_header_1920x1080.png,应用上架类,Apple App Store,1920x1080,PNG,PASS,"1920x1080 RGBA, 188097 bytes",
02_application_listing/app_store_ios/app_store_detail_brand_header_1024x500.png,应用上架类,Apple App Store,1024x500,PNG,PASS,"1024x500 RGBA, 69637 bytes",
02_application_listing/android_stores/google_play_icon_512x512.png,应用上架类,Google Play,512x512,PNG,PASS,"512x512 RGBA, 37242 bytes",
02_application_listing/android_stores/android_launcher_icon_mdpi_48x48_transparent.png,应用上架类,Android,48x48,PNG,PASS,"48x48 RGBA, 1695 bytes",
02_application_listing/android_stores/android_launcher_icon_mdpi_48x48_white.png,应用上架类,Android,48x48,PNG,PASS,"48x48 RGBA, 1339 bytes",
02_application_listing/android_stores/android_launcher_icon_hdpi_72x72_transparent.png,应用上架类,Android,72x72,PNG,PASS,"72x72 RGBA, 2995 bytes",
02_application_listing/android_stores/android_launcher_icon_hdpi_72x72_white.png,应用上架类,Android,72x72,PNG,PASS,"72x72 RGBA, 2351 bytes",
02_application_listing/android_stores/android_launcher_icon_xhdpi_96x96_transparent.png,应用上架类,Android,96x96,PNG,PASS,"96x96 RGBA, 4449 bytes",
02_application_listing/android_stores/android_launcher_icon_xhdpi_96x96_white.png,应用上架类,Android,96x96,PNG,PASS,"96x96 RGBA, 3429 bytes",
02_application_listing/android_stores/android_launcher_icon_xxhdpi_144x144_transparent.png,应用上架类,Android,144x144,PNG,PASS,"144x144 RGBA, 7728 bytes",
02_application_listing/android_stores/android_launcher_icon_xxhdpi_144x144_white.png,应用上架类,Android,144x144,PNG,PASS,"144x144 RGBA, 6010 bytes",
02_application_listing/android_stores/android_launcher_icon_xxxhdpi_192x192_transparent.png,应用上架类,Android,192x192,PNG,PASS,"192x192 RGBA, 11544 bytes",
02_application_listing/android_stores/android_launcher_icon_xxxhdpi_192x192_white.png,应用上架类,Android,192x192,PNG,PASS,"192x192 RGBA, 9140 bytes",
02_application_listing/android_stores/android_adaptive_icon_foreground_432x432.png,应用上架类,Android,432x432,PNG,PASS,"432x432 RGBA, 25063 bytes",
02_application_listing/android_stores/android_adaptive_icon_background_432x432.png,应用上架类,Android,432x432,PNG,PASS,"432x432 RGBA, 7512 bytes",
02_application_listing/android_stores/android_store_brand_graphic_1024x500.png,应用上架类,Android Store,1024x500,PNG,PASS,"1024x500 RGBA, 68803 bytes",
02_application_listing/android_stores/android_store_brand_graphic_1200x628.png,应用上架类,Android Store,1200x628,PNG,PASS,"1200x628 RGBA, 94821 bytes",
02_application_listing/android_stores/android_store_brand_graphic_1920x1080.png,应用上架类,Android Store,1920x1080,PNG,PASS,"1920x1080 RGBA, 187091 bytes",
02_application_listing/android_stores/android_store_brand_graphic_1080x1920.png,应用上架类,Android Store,1080x1920,PNG,PASS,"1080x1920 RGBA, 158316 bytes",
02_application_listing/android_stores/android_store_screenshot_template_1080x1920.png,应用上架类,Android Store,1080x1920,PNG,PASS,"1080x1920 RGBA, 146822 bytes",
02_application_listing/android_stores/android_store_screenshot_template_1920x1080.png,应用上架类,Android Store,1920x1080,PNG,PASS,"1920x1080 RGBA, 122239 bytes",
02_application_listing/android_stores/android_store_screenshot_template_1440x2560.png,应用上架类,Android Store,1440x2560,PNG,PASS,"1440x2560 RGBA, 214097 bytes",
03_owned_channels/avatars/wechat_official_avatar_240x240.png,官方阵地运营类,社交平台,240x240,PNG,PASS,"240x240 RGBA, 12682 bytes",
03_owned_channels/avatars/wechat_video_channel_avatar_500x500.png,官方阵地运营类,社交平台,500x500,PNG,PASS,"500x500 RGBA, 36961 bytes",
03_owned_channels/avatars/xiaohongshu_avatar_1080x1080.png,官方阵地运营类,社交平台,1080x1080,PNG,PASS,"1080x1080 RGBA, 115116 bytes",
03_owned_channels/avatars/douyin_avatar_400x400.png,官方阵地运营类,社交平台,400x400,PNG,PASS,"400x400 RGBA, 26544 bytes",
03_owned_channels/avatars/weibo_avatar_200x200.png,官方阵地运营类,社交平台,200x200,PNG,PASS,"200x200 RGBA, 9734 bytes",
03_owned_channels/avatars/universal_social_avatar_1024x1024.png,官方阵地运营类,社交平台,1024x1024,PNG,PASS,"1024x1024 RGBA, 105019 bytes",
03_owned_channels/covers/wechat_official_article_cover_900x383.png,官方阵地运营类,社交平台,900x383,PNG,PASS,"900x383 RGBA, 56483 bytes",
03_owned_channels/covers/wechat_official_content_guide_900x500.png,官方阵地运营类,社交平台,900x500,PNG,PASS,"900x500 RGBA, 69808 bytes",
03_owned_channels/covers/wechat_video_cover_landscape_1080x608.png,官方阵地运营类,社交平台,1080x608,PNG,PASS,"1080x608 RGBA, 90984 bytes",
03_owned_channels/covers/wechat_video_cover_vertical_1080x1260.png,官方阵地运营类,社交平台,1080x1260,PNG,PASS,"1080x1260 RGBA, 143214 bytes",
03_owned_channels/covers/douyin_home_cover_1125x633.png,官方阵地运营类,社交平台,1125x633,PNG,PASS,"1125x633 RGBA, 96460 bytes",
03_owned_channels/covers/xiaohongshu_shop_header_1080x608.png,官方阵地运营类,社交平台,1080x608,PNG,PASS,"1080x608 RGBA, 90984 bytes",
03_owned_channels/covers/weibo_banner_980x300.png,官方阵地运营类,社交平台,980x300,PNG,PASS,"980x300 RGBA, 42849 bytes",
03_owned_channels/watermark_templates/daily_post_logo_watermark_template_square_1080x1080.png,官方阵地运营类,社交内容,1080x1080,PNG,PASS,"1080x1080 RGBA, 99025 bytes",
03_owned_channels/watermark_templates/daily_post_logo_watermark_template_xiaohongshu_3_4_1080x1440.png,官方阵地运营类,社交内容,1080x1440,PNG,PASS,"1080x1440 RGBA, 118581 bytes",
03_owned_channels/watermark_templates/daily_post_logo_watermark_template_vertical_story_1080x1920.png,官方阵地运营类,社交内容,1080x1920,PNG,PASS,"1080x1920 RGBA, 146822 bytes",
03_owned_channels/watermark_templates/daily_post_logo_watermark_template_landscape_1920x1080.png,官方阵地运营类,社交内容,1920x1080,PNG,PASS,"1920x1080 RGBA, 122239 bytes",
03_owned_channels/watermark_templates/content_corner_logo_component_transparent_480x160.png,官方阵地运营类,社交内容,480x160,PNG,PASS,"480x160 RGBA, 31498 bytes",
03_owned_channels/watermark_templates/content_corner_logo_component_transparent_720x240.png,官方阵地运营类,社交内容,720x240,PNG,PASS,"720x240 RGBA, 57303 bytes",
03_owned_channels/watermark_templates/content_corner_logo_component_transparent_960x320.png,官方阵地运营类,社交内容,960x320,PNG,PASS,"960x320 RGBA, 88839 bytes",
03_owned_channels/watermark_templates/content_corner_logo_component_preview_1080x1080.png,官方阵地运营类,社交内容,1080x1080,PNG,PASS,"1080x1080 RGBA, 33555 bytes",
04_paid_ads/base_templates/wechat_moments_ad_square_800x800.png,流量投放类,广告平台,800x800,PNG,PASS,"800x800 RGBA, 85483 bytes",
04_paid_ads/base_templates/wechat_moments_ad_square_1080x1080.png,流量投放类,广告平台,1080x1080,PNG,PASS,"1080x1080 RGBA, 125010 bytes",
04_paid_ads/base_templates/douyin_feed_vertical_1080x1920.png,流量投放类,广告平台,1080x1920,PNG,PASS,"1080x1920 RGBA, 170177 bytes",
04_paid_ads/base_templates/douyin_feed_square_1080x1080.png,流量投放类,广告平台,1080x1080,PNG,PASS,"1080x1080 RGBA, 125010 bytes",
04_paid_ads/base_templates/douyin_feed_horizontal_1920x1080.png,流量投放类,广告平台,1920x1080,PNG,PASS,"1920x1080 RGBA, 145049 bytes",
04_paid_ads/base_templates/xiaohongshu_bid_note_1080x1440.png,流量投放类,广告平台,1080x1440,PNG,PASS,"1080x1440 RGBA, 147982 bytes",
04_paid_ads/base_templates/xiaohongshu_bid_square_1080x1080.png,流量投放类,广告平台,1080x1080,PNG,PASS,"1080x1080 RGBA, 125010 bytes",
04_paid_ads/base_templates/generic_native_ad_1200x628.png,流量投放类,广告平台,1200x628,PNG,PASS,"1200x628 RGBA, 74013 bytes",
04_paid_ads/base_templates/generic_native_ad_1280x720.png,流量投放类,广告平台,1280x720,PNG,PASS,"1280x720 RGBA, 86074 bytes",
04_paid_ads/base_templates/generic_native_ad_720x1280.png,流量投放类,广告平台,720x1280,PNG,PASS,"720x1280 RGBA, 100285 bytes",
04_paid_ads/base_templates/generic_native_ad_640x640.png,流量投放类,广告平台,640x640,PNG,PASS,"640x640 RGBA, 65375 bytes",
04_paid_ads/splash_ads/splash_ad_logo_center_no_text_1080x1920.png,流量投放类,广告平台,1080x1920,PNG,PASS,"1080x1920 RGBA, 105171 bytes",
04_paid_ads/splash_ads/splash_ad_logo_center_no_text_720x1280.png,流量投放类,广告平台,720x1280,PNG,PASS,"720x1280 RGBA, 58893 bytes",
04_paid_ads/splash_ads/splash_ad_logo_center_no_text_1440x2560.png,流量投放类,广告平台,1440x2560,PNG,PASS,"1440x2560 RGBA, 156117 bytes",
04_paid_ads/splash_ads/splash_ad_logo_center_no_text_1242x2688.png,流量投放类,广告平台,1242x2688,PNG,PASS,"1242x2688 RGBA, 132372 bytes",
04_paid_ads/landing_page_components/landing_page_brand_header_750x420.png,流量投放类,落地页,750x420,PNG,PASS,"750x420 RGBA, 60552 bytes",
04_paid_ads/landing_page_components/landing_page_brand_header_1080x360.png,流量投放类,落地页,1080x360,PNG,PASS,"1080x360 RGBA, 56584 bytes",
