file,category,platform,purpose,width_px,height_px,format,bytes,note
00_source/logo_full_transparent_clean.png,源文件,,logo_full_transparent_clean,1156,646,PNG,248726,
00_source/logo_symbol_transparent_clean.png,源文件,,logo_symbol_transparent_clean,888,448,PNG,144767,
00_source/logo_wordmark_transparent_clean.png,源文件,,logo_wordmark_transparent_clean,1156,335,PNG,160387,
00_source/uploaded_logo_original.png,源文件,,uploaded_logo_original,1335,783,PNG,267604,
01_logo_base/png/brand_color_swatch_1600x900.png,Logo基础包,,品牌色板PNG,1600,900,PNG,49367,
01_logo_base/png/logo_full_black_transparent.png,Logo基础包,,full 单色 black 透明版,1156,646,PNG,36616,
01_logo_base/png/logo_full_blue_transparent.png,Logo基础包,,full 单色 blue 透明版,1156,646,PNG,42374,
01_logo_base/png/logo_full_navy_transparent.png,Logo基础包,,full 单色 navy 透明版,1156,646,PNG,42480,
01_logo_base/png/logo_full_orange_transparent.png,Logo基础包,,full 单色 orange 透明版,1156,646,PNG,42330,
01_logo_base/png/logo_full_transparent_1024w.png,Logo基础包,,完整横版透明PNG 1024px宽,1024,572,PNG,201231,
01_logo_base/png/logo_full_transparent_2048w.png,Logo基础包,,完整横版透明PNG 2048px宽,2048,1144,PNG,598071,
01_logo_base/png/logo_full_transparent_4096w.png,Logo基础包,,完整横版透明PNG 4096px宽,4096,2288,PNG,1726975,
01_logo_base/png/logo_full_transparent_512w.png,Logo基础包,,完整横版透明PNG 512px宽,512,286,PNG,72997,
01_logo_base/png/logo_full_transparent_original_crop.png,Logo基础包,,完整横版logo透明背景,1156,646,PNG,245243,
01_logo_base/png/logo_full_white_on_navy_preview.png,Logo基础包,,full 反白版预览,1316,806,PNG,68841,
01_logo_base/png/logo_full_white_transparent.png,Logo基础包,,full 单色 white 透明版,1156,646,PNG,41871,
01_logo_base/png/logo_symbol_black_transparent.png,Logo基础包,,symbol 单色 black 透明版,888,448,PNG,18628,
01_logo_base/png/logo_symbol_blue_transparent.png,Logo基础包,,symbol 单色 blue 透明版,888,448,PNG,22509,
01_logo_base/png/logo_symbol_gradient_rebuilt.png,Logo基础包,,图形符号渐变重建版,888,448,PNG,50239,
01_logo_base/png/logo_symbol_navy_transparent.png,Logo基础包,,symbol 单色 navy 透明版,888,448,PNG,22614,
01_logo_base/png/logo_symbol_orange_transparent.png,Logo基础包,,symbol 单色 orange 透明版,888,448,PNG,22459,
01_logo_base/png/logo_symbol_transparent_1024x1024.png,Logo基础包,,图形符号透明PNG 1024x1024,1024,1024,PNG,114240,
01_logo_base/png/logo_symbol_transparent_128x128.png,Logo基础包,,图形符号透明PNG 128x128,128,128,PNG,6118,
01_logo_base/png/logo_symbol_transparent_2048x2048.png,Logo基础包,,图形符号透明PNG 2048x2048,2048,2048,PNG,327945,
01_logo_base/png/logo_symbol_transparent_256x256.png,Logo基础包,,图形符号透明PNG 256x256,256,256,PNG,15787,
01_logo_base/png/logo_symbol_transparent_512x512.png,Logo基础包,,图形符号透明PNG 512x512,512,512,PNG,42255,
01_logo_base/png/logo_symbol_transparent_64x64.png,Logo基础包,,图形符号透明PNG 64x64,64,64,PNG,2502,
01_logo_base/png/logo_symbol_transparent_original_crop.png,Logo基础包,,图形符号透明背景,888,448,PNG,142638,
01_logo_base/png/logo_symbol_white_on_navy_preview.png,Logo基础包,,symbol 反白版预览,1200,700,PNG,49030,
01_logo_base/png/logo_symbol_white_rounded_preview_1024x1024.png,Logo基础包,,图形符号圆角预览PNG 1024x1024,1024,1024,PNG,102959,
01_logo_base/png/logo_symbol_white_rounded_preview_128x128.png,Logo基础包,,图形符号圆角预览PNG 128x128,128,128,PNG,5114,
01_logo_base/png/logo_symbol_white_rounded_preview_2048x2048.png,Logo基础包,,图形符号圆角预览PNG 2048x2048,2048,2048,PNG,290512,
01_logo_base/png/logo_symbol_white_rounded_preview_256x256.png,Logo基础包,,图形符号圆角预览PNG 256x256,256,256,PNG,13713,
01_logo_base/png/logo_symbol_white_rounded_preview_512x512.png,Logo基础包,,图形符号圆角预览PNG 512x512,512,512,PNG,37946,
01_logo_base/png/logo_symbol_white_rounded_preview_64x64.png,Logo基础包,,图形符号圆角预览PNG 64x64,64,64,PNG,2030,
01_logo_base/png/logo_symbol_white_square_1024x1024.png,Logo基础包,,图形符号白底方形PNG 1024x1024,1024,1024,PNG,101241,
01_logo_base/png/logo_symbol_white_square_128x128.png,Logo基础包,,图形符号白底方形PNG 128x128,128,128,PNG,4937,
01_logo_base/png/logo_symbol_white_square_2048x2048.png,Logo基础包,,图形符号白底方形PNG 2048x2048,2048,2048,PNG,286828,
01_logo_base/png/logo_symbol_white_square_256x256.png,Logo基础包,,图形符号白底方形PNG 256x256,256,256,PNG,13392,
01_logo_base/png/logo_symbol_white_square_512x512.png,Logo基础包,,图形符号白底方形PNG 512x512,512,512,PNG,37242,
01_logo_base/png/logo_symbol_white_square_64x64.png,Logo基础包,,图形符号白底方形PNG 64x64,64,64,PNG,1939,
01_logo_base/png/logo_symbol_white_transparent.png,Logo基础包,,symbol 单色 white 透明版,888,448,PNG,22029,
01_logo_base/png/logo_wordmark_transparent_original_crop.png,Logo基础包,,文字组合透明背景,1156,335,PNG,158101,
01_logo_base/vector/zentro_full_lockup_gradient.svg,Logo基础包,矢量/印刷,完整锁定组合渐变SVG,,,SVG,1671,可在Figma/Illustrator/Inkscape中打开编辑
01_logo_base/vector/zentro_symbol_ai_compatible.ai,Logo基础包,矢量/印刷,Illustrator兼容CMYK矢量源文件,,,AI,863,AI文件为AI兼容EPS结构；如需原生分层AI，请在Illustrator中打开后另存为.ai
01_logo_base/vector/zentro_symbol_cmyk_print.eps,Logo基础包,矢量/印刷,CMYK EPS印刷矢量源文件,,,EPS,863,AI文件为AI兼容EPS结构；如需原生分层AI，请在Illustrator中打开后另存为.ai
01_logo_base/vector/zentro_symbol_cmyk_vector_print.pdf,Logo基础包,矢量/印刷,CMYK PDF矢量印刷源文件,PDF,,PDF,1624,矢量PDF，不依赖DPI；用于印刷排版
01_logo_base/vector/zentro_symbol_gradient.svg,Logo基础包,矢量/印刷,图形符号渐变SVG,,,SVG,1225,可在Figma/Illustrator/Inkscape中打开编辑
01_logo_base/vector/zentro_symbol_reverse_white.svg,Logo基础包,矢量/印刷,图形符号反白SVG,,,SVG,1212,可在Figma/Illustrator/Inkscape中打开编辑
01_logo_base/vector/zentro_symbol_single_color_navy.svg,Logo基础包,矢量/印刷,图形符号深蓝单色SVG,,,SVG,1212,可在Figma/Illustrator/Inkscape中打开编辑
